-----------------------------------------------------
-----------------------------------------------------
Test files:
data_array20000.csv
data_array520000.csv
data_array1020000.csv
data_array1520000.csv
data_array2020000.csv
data_array2520000.csv
data_array3020000.csv
data_array3520000.csv
data_array4020000.csv
data_array4520000.csv
data_array5020000.csv
data_array5520000.csv
data_array6020000.csv
data_array6520000.csv
data_array7020000.csv
data_array7520000.csv
data_array8020000.csv
data_array8520000.csv
data_array9020000.csv
data_array9520000.csv

NOTES: Testing quick sort algorithm of various array sizes (total of 20 intervals between 20,000 and 10,000,000)
with a range between 2 and 300 recursions, increased by two, as well as getting the amount of time it takes
for each array to run. Also getting the average of three runs to filter out any non-significant differences in the run time.
-----------------------------------------------------

*************** Quick sorting array size: 20000 ***************

Number of Recursions: 252  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 194266 ns = (average) 9194266 ns
Number of Recursions: 254  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 531233 ns = (average) 8531233 ns
Number of Recursions: 256  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 415100 ns = (average) 10415100 ns
Number of Recursions: 258  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 421333 ns = (average) 10421333 ns
Number of Recursions: 260  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 509200 ns = (average) 11509200 ns
Number of Recursions: 262  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 919600 ns = (average) 8919600 ns
Number of Recursions: 264  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 570533 ns = (average) 8570533 ns
Number of Recursions: 266  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 800766 ns = (average) 7800766 ns
Number of Recursions: 268  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 278766 ns = (average) 8278766 ns
Number of Recursions: 270  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 758533 ns = (average) 10758533 ns
Number of Recursions: 272  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 293733 ns = (average) 11293733 ns
Number of Recursions: 274  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 771900 ns = (average) 10771900 ns
Number of Recursions: 276  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 536566 ns = (average) 10536566 ns
Number of Recursions: 278  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 643566 ns = (average) 11643566 ns
Number of Recursions: 280  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 83033 ns = (average) 13083033 ns
Number of Recursions: 282  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 107966 ns = (average) 13107966 ns
Number of Recursions: 284  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 81033 ns = (average) 12081033 ns
Number of Recursions: 286  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 447433 ns = (average) 12447433 ns
Number of Recursions: 288  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 124800 ns = (average) 10124800 ns
Number of Recursions: 290  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 914166 ns = (average) 12914166 ns
Number of Recursions: 292  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 10 ms : 642000 ns = (average) 10642000 ns
Number of Recursions: 294  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 861866 ns = (average) 11861866 ns
Number of Recursions: 296  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 11 ms : 32966 ns = (average) 11032966 ns
Number of Recursions: 298  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 12 ms : 37033 ns = (average) 12037033 ns
Number of Recursions: 300  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 13 ms : 16533 ns = (average) 13016533 ns


*************** Quick sorting array size: 520000 ***************

Number of Recursions: 2  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 261 ms : 714433 ns = (average) 261714433 ns
Number of Recursions: 4  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 225 ms : 153866 ns = (average) 225153866 ns
Number of Recursions: 6  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 219 ms : 659966 ns = (average) 219659966 ns
Number of Recursions: 8  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 215 ms : 884900 ns = (average) 215884900 ns
Number of Recursions: 10  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 155 ms : 63866 ns = (average) 155063866 ns
Number of Recursions: 12  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 132 ms : 283666 ns = (average) 132283666 ns
Number of Recursions: 14  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 122 ms : 767233 ns = (average) 122767233 ns
Number of Recursions: 16  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 115 ms : 753800 ns = (average) 115753800 ns
Number of Recursions: 18  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 124 ms : 381766 ns = (average) 124381766 ns
Number of Recursions: 20  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 119 ms : 203333 ns = (average) 119203333 ns
Number of Recursions: 22  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 119 ms : 648366 ns = (average) 119648366 ns
Number of Recursions: 24  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 121 ms : 338200 ns = (average) 121338200 ns
Number of Recursions: 26  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 122 ms : 591166 ns = (average) 122591166 ns
Number of Recursions: 28  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 122 ms : 23166 ns = (average) 122023166 ns
Number of Recursions: 30  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 128 ms : 828800 ns = (average) 128828800 ns
Number of Recursions: 32  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 123 ms : 643300 ns = (average) 123643300 ns
Number of Recursions: 34  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 128 ms : 550300 ns = (average) 128550300 ns
Number of Recursions: 36  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 132 ms : 742166 ns = (average) 132742166 ns
Number of Recursions: 38  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 142 ms : 232900 ns = (average) 142232900 ns
Number of Recursions: 40  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 129 ms : 731400 ns = (average) 129731400 ns
Number of Recursions: 42  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 122 ms : 895533 ns = (average) 122895533 ns
Number of Recursions: 44  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 124 ms : 434833 ns = (average) 124434833 ns
Number of Recursions: 46  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 127 ms : 340033 ns = (average) 127340033 ns
Number of Recursions: 48  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 128 ms : 616600 ns = (average) 128616600 ns
Number of Recursions: 50  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 130 ms : 663866 ns = (average) 130663866 ns
Number of Recursions: 52  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 138 ms : 62433 ns = (average) 138062433 ns
Number of Recursions: 54  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 125 ms : 629500 ns = (average) 125629500 ns
Number of Recursions: 56  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 130 ms : 737600 ns = (average) 130737600 ns
Number of Recursions: 58  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 138 ms : 365233 ns = (average) 138365233 ns
Number of Recursions: 60  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 136 ms : 6333 ns = (average) 136006333 ns
Number of Recursions: 62  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 136 ms : 552666 ns = (average) 136552666 ns
Number of Recursions: 64  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 156 ms : 68333 ns = (average) 156068333 ns
Number of Recursions: 66  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 149 ms : 284566 ns = (average) 149284566 ns
Number of Recursions: 68  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 139 ms : 239100 ns = (average) 139239100 ns
Number of Recursions: 70  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 140 ms : 976366 ns = (average) 140976366 ns
Number of Recursions: 72  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 167 ms : 219333 ns = (average) 167219333 ns
Number of Recursions: 74  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 175 ms : 516366 ns = (average) 175516366 ns
Number of Recursions: 76  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 157 ms : 747066 ns = (average) 157747066 ns
Number of Recursions: 78  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 194 ms : 20866 ns = (average) 194020866 ns
